#код	файл с эмблемой клуба	название	город	год	стадион	мест	сайт
BATE	belarus/BATE.png	ФК БАТЭ Борисов	Барысаў (Борисов)	1973	Гарадскі стадыён	5502	http://www.fcbate.by
DINMN	belarus/DINMN.png	ФК Динамо Минск	Мінск (Минск)	1927	Стадыён "Дынама"	41024	http://www.dinamo-minsk.by
GOMEL	belarus/GOMEL.png	ФК Гомель	Гомель	1959	Стадыён "Цэнтральны"	14307	http://www.fcgomel.by
GRANIT	belarus/GRANIT.png	ФК Гранит Микашевичи	Мікашэвічы (Микашевичи)	1978	Стадыён "Польсье"	2000	http://www.fcgranit.by/
MINSK	belarus/MINSK.png	ФК Минск	Мінск (Минск)	1954 / 2006	Стадыён "Дынама"	41000	http://www.fcminsk.com
NAFTAN	belarus/NAFTAN.png	ФК Нафтан Новополоцк	Наваполацк (Новополоцк)	1963	Стадыён "Атлант"	4522	http://www.fcnaftan.com
NEMAN	belarus/NEMAN.png	ФК Неман Гродно	Гродна (Гродно)	1964	Стадыён "Нёман"	9000	http://www.fcneman.by/
SLAVIYA	belarus/SLAVIYA.png	ФК Славия Мозырь	Мазыр (Мозырь)	1987	Стадыён "Юнацтва"	5371	http://www.slaviya.by
ARSENAL	england/ARSENAL.png	Arsenal FC	London	1886	Emirates Stadium	60355	http://www.arsenal.com
BLACKPOOL	england/BLACKPOOL.png	Blackpool FC	Blackpool, Lancashire	1887	Bloomfield Road	17600	http://www.blackpoolfc.co.uk
DERBY	england/DERBY.png	Derby County FC	Derby	1884	Pride Park Stadium	33597	http://www.dcfc.co.uk
LEICESTER	england/LEICESTER.png	Leicester City FC	Leicester, Leicestershire	1884	King Power Stadium	32500	http://www.lcfc.com
NEWCASTLE	england/NEWCASTLE.png	Newcastle United FC	Newcastle-upon-Tyne	1892	St. James' Park	52389	http://www.nufc.co.uk
READING	england/READING.png	Reading FC	Reading, Berkshire	1871	Madejski Stadium	24200	http://www.readingfc.co.uk
STOKECITY	england/STOKECITY.png	Stoke City FC	Stoke-on-Trent, Staffordshire	1868	Britannia Stadium	28383	http://www.stokecityfc.com
WESTHAM	england/WESTHAM.png	West Ham United FC	London	1895	Boleyn Ground	35303	http://www.whufc.com
WOLVER	england/WOLVER.png	Wolverhampton Wanderers FC	Wolverhampton, West Midlands	1877	Molineux Stadium	29195	http://www.wolves.co.uk
CANNES	france/CANNES.png	Association Sportive de Cannes	Cannes	1902	Stade Pierre de Coubertin	11211	http://www.ascannes.info
LAVAL	france/LAVAL.png	Stade Lavallois Mayenne FC	Laval	1902	Stade Francis Le Basser	18467	http://www.stade-lavallois.com
NANT	france/NANT.png	FC Nantes	Nantes	1943	Stade de la Beaujoire - Louis Fonteneau	38285	http://www.fcnantes.com
LYON	france/LYON.png	Olympique Lyonnais	Lyon	1950	Stade de Gerland	41842	http://www.olweb.fr
MARSELLE	franceMARSELLE.png	Olympique de Marseille	Marseille	1899	Stade Vélodrome	60031	http://www.om.net
1860	germany/1860.png	TSV 1860 München	München	1860	Allianz-Arena	71901	http://www.tsv1860.de
ALEMANIA	germany/ALEMANNIA.png	TSV Alemannia Aachen	Aachen	1900	Neuer Tivoli	32960	http://www.alemannia-aachen.de
BAYER	germany/BAYER.png	TSV Bayer 04 Leverkusen	Leverkusen	1904	BayArena	30210	http://www.bayer04.de
BOR-D	germany/BOR-D.png	BV Borussia 09 Dortmund	Dortmund	1909	Signal-Iduna-Park	80720	http://www.bvb.de
WERDER	germany/WERDER.png	SV Werder Bremen	Bremen	1899	Weserstadion	42358	http://www.werder.de
WOLFSBURG	germany/WOLFSBURG.png	VfL Wolfsburg	Wolfsburg	1945	VOLKSWAGEN ARENA	30000	http://www.vfl-wolfsburg.de
EMPOLI	italy/EMPOLI.png	Empoli FC	Empoli	1920	Stadio Carlo Castellani	19847	http://www.empolicalcio.it
GENOA	italy/GENOA.png	Genoa CFC	Genova	1893	Stadio Comunale Luigi Ferraris	36703	http://www.genoacfc.it
INTER	italy/INTER.png	FC Internazionale Milano	Milano	1908	Stadio Giuseppe Meazza	82995	http://www.inter.it
LAZIO	italy/LAZIO.png	SS Lazio	Roma	1900	Stadio Olimpico	82656	http://www.sslazio.it
MODENA	italy/MODENA.png	Modena FC	Modena	1912	Stadio Alberto Braglia	20507	http://www.modenafc.net
NAPOLI	italy/NAPOLI.png	SSC Napoli	Napoli	1904 / 1926 / 2004	Stadio San Paolo	76824	http://www.sscnapoli.it
PALERMO	italy/PALERMO.png	US Città di Palermo	Palermo	1900	Stadio Renzo Barbera	37242	http://www.ilpalermocalcio.it
ROMA	italy/ROMA.png	AS Roma	Roma	1927	Stadio Olimpico	82656	http://www.asroma.it
SAMPDORIA	italy/SAMPDOR.png	UC Sampdoria	Genova	1946	Stadio Comunale Luigi Ferraris	36703	http://www.sampdoria.it
VENEZIA	italy/VENEZIA.png	FBC Unione Venezia	Mestre	1907	Stadio Pier Giovanni Mecchia	3335	http://www.fbcunionevenezia.com/
AJAX	netherlands/AJAX.png	AFC Ajax	Amsterdam	1900	Amsterdam ArenA	53052	http://www.ajax.nl
AZALK	netherlands/AZALK.png	Alkmaar Zaanstreek	Alkmaar	1967	AFAS Stadion	17023	http://www.az.nl
EINDH	netherlands/EINDH.png	FC Eindhoven	Eindhoven	1909	Jan Louwers Stadion	5400	http://www.fc-eindhoven.nl
